First Name,Last Name,Date of Birth,Address,Zipcode,Gender,Race / Ethnicity,English Fluency,Spanish Fluency,Education,High School GPA,College GPA,Years of Experience,Years of Volunteering,Myers Briggs Type,Twitter followers,Instagram Followers,Requires Sponsorship,Customer Satisfaction Rating,Sales Rating,Fired
Sarah,Chang,1989-12-24,764 Howard Tunnel,30167,Female,Black,Fluent,Basic,High School,3.1,2.52,8.8,0.0,ISTJ,693,1108,False,2.21,2.07,Current Employee
Daniel,Taylor,1985-03-15,4892 Jessica Turnpike Suite 781,86553,Male,Black,Fluent,Basic,High School,3.02,3.9,13.7,0.0,ISFJ,507,1259,False,3.37,2.98,Current Employee
Heather,Stewart,1993-09-20,778 Linda Orchard Apt. 609,30167,Female,Black,Proficient,Basic,High School,2.95,2.63,5.2,0.0,INFP,599,868,False,1.5,1.36,Current Employee
Katherine,Dillon,1986-12-22,139 Linda Crossroad Suite 115,30167,Female,Black,Basic,Basic,High School,3.99,3.88,12.5,0.0,ISFP,1321,889,True,2.89,2.62,Current Employee
Sheri,Bolton,1991-02-24,1858 Lauren Orchard,60531,Female,Black,Proficient,Proficient,High School,3.82,3.3,7.0,0.0,ISFJ,414,13760,True,1.94,1.78,Current Employee
Donna,Davis,1996-05-26,4232 Tina Forks,86553,Female,Black,Proficient,Basic,Associates,2.05,3.14,1.6,0.0,ESTJ,495,2401,False,0.78,0.87,Current Employee
Benjamin,Shelton,1985-01-15,186 Warren Mount Apt. 396,30167,Male,Black,Proficient,Basic,Associates,2.12,3.51,13.1,0.0,ESFJ,1696,1158,False,3.41,3.11,Current Employee
Kevin,Hayes,1994-01-21,515 Tucker Plaza Suite 304,59010,Male,Black,Fluent,Basic,High School,2.09,2.92,4.1,0.0,ESTP,319,538,False,1.3,1.29,Current Employee
Autumn,Robinson,1996-05-05,0123 Audrey Union,60531,Female,Black,Fluent,Basic,None,,,3.0,0.0,ISFJ,988,510,False,0.89,0.63,Current Employee
Kimberly,Becker,1983-04-12,91615 Wilson Place,60531,Female,Black,Fluent,Basic,High School,2.99,2.97,14.8,0.0,INTP,1169,2254,False,3.59,3.4,Current Employee
Chloe,Arellano,1995-01-16,00869 Jordan Fields,86553,Female,Black,Fluent,Basic,High School,3.06,2.65,4.0,0.0,ISFJ,875,23385,False,1.27,1.07,Current Employee
Maria,Bell,1985-11-22,9163 Rebecca Loop,43711,Female,Black,Basic,Basic,High School,2.56,2.53,13.4,0.0,INFP,825,928,False,3.04,2.76,Current Employee
